timestamp,mvrv_ratio,exchange_inflow_native,exchange_inflow_usd,exchange_outflow_native,exchange_outflow_usd,exchange_supply_native,exchange_supply_usd
2015-07-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-31 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-04 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-05 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1400.0,0.0
2015-08-07 00:00:00+00:00,0.0,1437994.819273896,0.0,2001.0168918584068,0.0,1437393.8023820377,0.0
2015-08-08 00:00:00+00:00,5.78278879,861580.136405829,1033887.5478856307,14154.423100117248,16985.166175909697,2284819.5156877493,2741760.5706301425
2015-08-09 00:00:00+00:00,4.88081534,534530.534347525,641431.2959116865,93926.85476672284,112711.28645151974,2725423.1952685514,3270480.580090309
2015-08-10 00:00:00+00:00,4.62344756,879453.0463603802,1055334.8611019927,177970.68079909944,213563.03725211136,3426905.560829832,4112252.4039401906
2015-08-11 00:00:00+00:00,3.83427474,455902.77758392,451343.7498080808,176982.45298287505,175212.6284530463,3705825.885430877,3668767.6265765685
2015-08-12 00:00:00+00:00,4.70208081,368265.1949457036,474325.5710900663,146839.83925479758,189129.7129601793,3927251.2411217834,5058299.598564857
2015-08-13 00:00:00+00:00,6.08626751,683331.3265535709,1287942.8842881704,264259.16165008,498075.6678780708,4346323.406025275,8191950.355676437
2015-08-14 00:00:00+00:00,5.43349984,1170872.1106362205,2101767.1472059363,239565.4797605269,430030.6159753945,5277630.036900968,9473578.989458056
2015-08-15 00:00:00+00:00,4.41871028,526175.9504103885,937762.5877965525,258229.7791063415,460222.9077783292,5545576.2082050145,9883450.377717327
2015-08-16 00:00:00+00:00,3.78569826,659767.2635226216,1011471.889686007,158824.95721341978,243490.37680989577,6046518.514514217,9269758.968099251
2015-08-17 00:00:00+00:00,3.81169381,296311.71919568937,384132.5865309078,205236.44154218218,266064.4180864541,6137593.792167724,7956653.840290394
2015-08-18 00:00:00+00:00,3.15009403,470631.92904174706,510252.8165309239,251325.56700761378,272483.80426074105,6356900.154201857,6892065.76929811
2015-08-19 00:00:00+00:00,3.4798352,230176.79971002764,285419.2316404343,309483.5604243507,383759.61492619495,6277593.3934875345,7784215.807924543
2015-08-20 00:00:00+00:00,3.98691003,67196.0589276925,102258.96247616246,105857.73653609293,161094.30346062622,6238931.715879134,9494406.285224866
2015-08-21 00:00:00+00:00,3.77588797,204075.23229882412,293027.5445532356,215760.0163445121,309805.49226875807,6227246.931833446,8941579.324481009
2015-08-22 00:00:00+00:00,3.64363585,90420.61935124002,126588.86709173603,93438.32618249248,130813.65665548948,6224229.225002193,8713920.91500307
2015-08-23 00:00:00+00:00,3.49516511,108454.64958924847,146413.7769454854,147258.0370147175,198798.3499698686,6185425.837576725,8350324.880728577
2015-08-24 00:00:00+00:00,3.24203363,126380.8839226205,156464.5895315611,141381.08941515218,175035.44393953498,6170425.632084193,7639233.749545514
2015-08-25 00:00:00+00:00,3.28295633,101161.69126884859,128595.73032404763,58245.28215670944,74040.82022478747,6213342.041196331,7898338.269348365
2015-08-26 00:00:00+00:00,3.0647458,135907.76347698935,160371.16090284742,106883.07270588611,126122.02579294561,6242366.731967435,7365992.743721574
2015-08-27 00:00:00+00:00,2.96609185,92281.8435401944,104874.62390968933,76998.84639279613,87506.10897155709,6257649.729114833,7111568.611149843
2015-08-28 00:00:00+00:00,3.29829906,90122.71454038627,116708.91532980022,69713.67399107966,90279.20781844817,6278058.7696641395,8130086.106715061
2015-08-29 00:00:00+00:00,3.02115454,47609.755564462845,56131.901810501695,47554.38769058449,56066.623087199114,6278114.137538018,7401896.568157324
2015-08-30 00:00:00+00:00,3.30712308,129107.92830400898,170422.46536129186,80385.56313541756,106108.94333875117,6326836.50270661,8351424.183572724
2015-08-31 00:00:00+00:00,3.27217355,156844.60417211396,204919.04379690863,132062.60283561106,172541.1112307542,6351618.5040431125,8298453.091717367
2015-09-01 00:00:00+00:00,3.31858996,220873.78583520735,300388.34873588197,93975.47925082534,127806.65178112246,6478516.810627494,8810782.862453392
2015-09-02 00:00:00+00:00,3.21459317,72241.43313658949,94512.08505436136,107538.59685578672,140690.68914294546,6443219.646908297,8429541.01064333
2015-09-03 00:00:00+00:00,3.04856863,131982.2896169032,162809.3930027233,70338.415893749,86767.35969405195,6504863.520631451,8024204.493145339
2015-09-04 00:00:00+00:00,3.03745708,98681.99135472464,121731.14407544768,42635.401321335856,52593.75200796028,6560910.11066484,8093341.885212827
2015-09-05 00:00:00+00:00,3.30058859,46681.19050005167,63620.44413380354,57264.7740430518,78044.5039814661,6550326.52712184,8927250.535233567
2015-09-06 00:00:00+00:00,3.23900739,92601.95094773656,124086.61426996699,57273.3925150959,76746.3459702285,6585655.085554481,8824777.814643005
2015-09-07 00:00:00+00:00,3.09867966,90238.60865074892,115109.27158098183,42098.4385334662,53701.18917767482,6633795.255671764,8462135.566087458
2015-09-08 00:00:00+00:00,3.06021213,123222.25645849177,155690.55548732844,61098.4334696441,77197.49110014716,6695919.078660611,8460252.155876087
2015-09-09 00:00:00+00:00,2.83894004,1007109.4962974063,1218602.4905198617,63078.5577732202,76325.05490559644,7639950.017184798,9244339.520793604
2015-09-10 00:00:00+00:00,2.78973383,71655.69375293626,84962.15608285653,61904.75728312728,73400.47071060402,7649700.953654606,9070250.420748267
2015-09-11 00:00:00+00:00,2.25259009,170982.28208906602,158622.94894487158,239667.4487612348,222343.25699780835,7581015.786982438,7033027.430891212
2015-09-12 00:00:00+00:00,2.68992164,54598.087845369904,62590.7019250536,46790.6606875161,53640.345505561585,7588823.214140291,8699751.044458289
2015-09-13 00:00:00+00:00,2.15049852,37823.35110325628,33495.22503651067,51674.3911657478,45761.29058465128,7574972.1740778,6708168.108198077
2015-09-14 00:00:00+00:00,2.29659908,104061.54950517077,99378.77977743809,63201.503679334,60357.43601376397,7615832.219903637,7273119.770007973
2015-09-15 00:00:00+00:00,2.5170821,128020.99303939915,121619.94338742919,112028.1677254019,106426.75933913181,7631825.045217634,7250233.792956752
2015-09-16 00:00:00+00:00,2.48099049,114926.54179286698,107610.31814233305,65581.58645129,61406.66265780088,7681170.000559211,7192186.718323612
2015-09-17 00:00:00+00:00,2.33899071,60618.75939712387,53041.41447248339,66502.17372365053,58189.402008194214,7675286.586232684,6715875.762953599
2015-09-18 00:00:00+00:00,2.28456208,123525.90059514255,105276.1840412162,84416.9215698347,71945.16557710733,7714395.565257992,6574670.764446776
2015-09-19 00:00:00+00:00,2.34796246,30674.475047826596,27106.710899267073,17853.344905119102,15776.8130725437,7727216.695400699,6828460.102141427
2015-09-20 00:00:00+00:00,2.47372585,32072.834526355986,30185.6689428252,22166.055715002676,20861.804996731917,7737123.474212052,7281871.128989415
2015-09-21 00:00:00+00:00,2.46892478,71574.20768306144,67362.7813029901,17616.7119668822,16580.14463475085,7791080.969928232,7332653.765657655
2015-09-22 00:00:00+00:00,2.15548222,41191.662783529326,33195.537203990614,32032.933582458096,25814.70051543133,7800239.699129303,6286057.168734323
2015-09-23 00:00:00+00:00,2.39300012,44884.268715360624,40844.684530978164,28233.62698007,25692.6005518637,7816890.340864594,7113370.21018678
2015-09-24 00:00:00+00:00,2.13476982,155179.16447481763,124143.3315798541,101852.5508468478,81482.04067747823,7870216.954492563,6296173.563594051
2015-09-25 00:00:00+00:00,1.84051674,184020.38371530233,125562.62842046224,189884.6158234504,129563.96991481491,7864352.722384416,5366083.793064558
2015-09-26 00:00:00+00:00,2.04735816,93429.18178036304,71970.36730904925,88908.67893883963,68488.13356016694,7868873.225225939,6061550.422856045
2015-09-27 00:00:00+00:00,1.87468697,103395.39170935978,72456.37885854006,118694.0825430262,83177.2409855459,7853574.534392272,5503548.682878068
2015-09-28 00:00:00+00:00,1.63593024,289427.0069118685,174874.13193774965,125492.24756539652,75823.42813156453,8017509.293738744,4844243.780167805
2015-09-29 00:00:00+00:00,1.81560795,64923.12556252858,44253.55007718635,86008.7720800211,58626.15931290478,7996423.647221252,5450602.250655422
2015-09-30 00:00:00+00:00,1.88747036,143032.38715670494,102074.2497909958,48064.12594078,34300.69017788238,8091391.908437177,5774375.826600625
2015-10-01 00:00:00+00:00,1.7449154,102840.03949726756,67331.69343969348,126640.568303513,82914.43647556416,8067591.379630932,5282034.0426304145
2015-10-02 00:00:00+00:00,1.76594782,55790.006855713094,37081.94385678682,27290.341767965638,18139.07146291372,8096091.044718679,5381228.834693165
2015-10-03 00:00:00+00:00,1.80112465,37717.65078315889,25632.91547223478,33016.9380179223,22438.311076979997,8100791.757483915,5505298.078386069
2015-10-04 00:00:00+00:00,1.7681262,39743.6128679501,24225.3217875303,31878.144221628,19431.004028851134,8108657.226130238,4942550.925615425
2015-10-05 00:00:00+00:00,1.76307409,49139.28588041735,29865.383779541255,68454.63321315122,41604.67242795692,8089341.878797504,4916459.313676759
2015-10-06 00:00:00+00:00,1.87289931,80078.8001817867,52142.50995036859,245858.35035708,160088.20625150908,7923562.328622211,5159348.374659066
2015-10-07 00:00:00+00:00,1.73984036,96223.46648565996,57734.079891395966,79524.04564177,47714.427385062,7940261.749466101,4764157.04967966
2015-10-08 00:00:00+00:00,1.82176106,140640.75196449697,89137.94559649433,62800.942336090004,39803.16446812017,8018101.559094507,5081863.475404014
2015-10-09 00:00:00+00:00,1.82134949,92154.40461705072,58535.634365657505,87981.2609568027,55884.89170754214,8022274.7027547555,5095675.466980676
2015-10-10 00:00:00+00:00,1.81920274,33908.954301713406,21538.65741930728,34598.66630119,21976.756168756518,8021584.990755279,5095237.368231227
2015-10-11 00:00:00+00:00,1.72291151,27976.40509280312,16766.539336167836,78003.05737279,46748.01231408677,7971558.338475292,4777434.627831628
2015-10-12 00:00:00+00:00,1.79649186,108400.81604395379,68292.51410769089,103544.83571716001,65233.2465018108,7976414.318802086,5025141.0208453145
2015-10-13 00:00:00+00:00,1.71740921,127325.93174252995,76604.29000430548,119746.13064157541,72043.98344486386,7983994.11990304,4803484.982073218
2015-10-14 00:00:00+00:00,1.39636066,421225.2663385482,203551.34008284498,360397.6336985767,174157.21981660748,8044821.752543012,3887549.9152551508
2015-10-15 00:00:00+00:00,1.68771447,75070.16101384521,42028.92943253289,69572.03707183286,38950.73884323153,8050319.876485025,4507068.073767748
2015-10-16 00:00:00+00:00,1.58457216,102600.71514762391,53865.37545250255,98220.64592112528,51565.83910859077,8054699.945711522,4228717.47149855
2015-10-17 00:00:00+00:00,1.57654959,94173.41041395017,49251.7519123918,60511.58587115137,31646.954294753457,8088361.770254321,4230132.322225308
2015-10-18 00:00:00+00:00,1.52770711,48842.58629132443,24665.506077118833,27560.121739043458,13917.861478216946,8109644.234806603,4095370.3385773343
2015-10-19 00:00:00+00:00,1.4982944,82791.7359157367,41352.79351286844,123421.75998475241,61646.666774070625,8069014.210737587,4030309.001476182
2015-10-20 00:00:00+00:00,1.32167465,135254.09241313592,59516.49621589396,138040.89584377,60742.78647354583,8066227.407306952,3549420.0907217762
2015-10-21 00:00:00+00:00,1.25876092,342463.4128311109,143834.63338906658,99230.21769177441,41676.691430545245,8309460.60244629,3489973.4530274416
2015-10-22 00:00:00+00:00,1.5882966,165594.79930710964,90445.14934174265,140053.58229724542,76494.95769023559,8335001.819456154,4552440.58073533
2015-10-23 00:00:00+00:00,1.62767608,300873.30698432674,169966.339848516,160529.51668011714,90684.72926776498,8475345.609760363,4787807.488409727
2015-10-24 00:00:00+00:00,1.60330784,30292.151901382204,16844.253986282587,35140.61151016,19540.28843633957,8470497.150151586,4710104.645313291
2015-10-25 00:00:00+00:00,1.78113684,72596.36940089216,45326.62187069129,52972.75893418,33074.32910863106,8490120.760618297,5300933.042917738
2015-10-26 00:00:00+00:00,1.96516266,284924.6112777477,199595.25880263458,365401.2383175475,255970.70888937268,8409644.133578498,5891120.074718335
2015-10-27 00:00:00+00:00,2.2236057,232036.89184762025,192590.62023352482,193645.94626698105,160726.13540159425,8448035.079159137,7011869.115702083
2015-10-28 00:00:00+00:00,2.58630067,314214.3146238858,311072.1714776469,279905.7563019285,277106.6987389092,8482343.637481093,8397520.201106284
2015-10-29 00:00:00+00:00,2.68866354,240335.03941304344,283452.760827374,130238.52078719722,153604.18677760585,8592440.15610694,10133981.67175586
2015-10-30 00:00:00+00:00,2.52814732,582854.0620591916,653189.0235376579,258503.38717429506,289697.86099287274,8916790.830991836,9992809.99330774
2015-10-31 00:00:00+00:00,2.05135907,66396.15248690778,59048.92499675738,78411.76914674976,69734.92441632767,8904775.214331996,7919395.688594403
2015-11-01 00:00:00+00:00,2.25825307,33222.12714326182,32889.90587182921,41487.137432297,41072.266057974026,8896510.20404296,8807545.10200253
2015-11-02 00:00:00+00:00,2.26082824,108791.53310349905,107464.27639963636,115378.9152081008,113971.29244256197,8889922.821938358,8781465.76351071
2015-11-03 00:00:00+00:00,2.37680286,132108.70702512594,138365.7259295958,148335.50575010187,155361.06889868344,8873696.023213383,9293977.81250684
2015-11-04 00:00:00+00:00,1.85455408,256653.54507703133,205066.18251654803,227819.37546306118,182027.6809949859,8902530.192827353,7113121.624069055
2015-11-05 00:00:00+00:00,2.01179401,138095.13293934692,121023.81260538487,77841.65293185032,68218.86779641498,8962783.672834849,7854804.3551990045
2015-11-06 00:00:00+00:00,2.2780684,101379.0264327706,97288.67008516104,35275.90922473436,33852.62628059623,9028886.790042885,8664596.801343981
2015-11-07 00:00:00+00:00,2.18745832,137458.7213305932,125341.76155691923,68721.87865706506,62664.05830781062,9097623.632716414,8295669.864148102
2015-11-08 00:00:00+00:00,2.37940703,98015.7710126956,98015.7710126956,58361.306657353045,58361.306657353045,9137278.097071756,9137278.097071756
2015-11-09 00:00:00+00:00,2.32150138,380426.21155412553,379665.3591310173,115966.13313491162,115734.2008686418,9401738.17549097,9382934.699139988
2015-11-10 00:00:00+00:00,2.10777942,67559.14747791774,60932.586188417976,46529.636719750844,41965.76193725203,9422767.686249137,8498532.4061924
2015-11-11 00:00:00+00:00,1.78114722,33214.45862586806,24912.416366331887,71841.92020265911,53884.841201401905,9384140.224672345,7038549.420613079
2015-11-12 00:00:00+00:00,2.31068324,50011.68126649596,44010.27951451644,69989.59509264902,61590.84368153113,9364162.310846193,8240462.833544649
2015-11-13 00:00:00+00:00,2.36111323,35816.95848920397,32234.697439886626,30546.593619913434,27491.452225176497,9369432.675715484,8432341.556196397
2015-11-14 00:00:00+00:00,2.31161449,43911.089679692945,38641.758918129795,99101.92009957552,87209.68968762647,9314241.8452956,8196532.823860128
