timestamp,mvrv_ratio,exchange_inflow_native,exchange_inflow_usd,exchange_outflow_native,exchange_outflow_usd,exchange_supply_native,exchange_supply_usd
2024-12-22 00:00:00+00:00,2.36832468298583,20076.7700283,1910286716.051892,19870.47379938,1890657814.3350332,2574354.79699994,244947557011.48315
2024-12-23 00:00:00+00:00,2.3466031181287983,37122.44935258,3519236270.844258,36916.91388701,3499751353.2810655,2575561.11231111,244165141101.91098
2024-12-24 00:00:00+00:00,2.4325472895826454,28459.30559466,2807161388.158362,32601.19661206,3215708128.6728907,2573154.73290648,253810149651.97745
2024-12-25 00:00:00+00:00,2.4457574461003446,20173.83552729,2001957990.2406018,20605.60005939,2044804302.4240642,2573913.4321475,255423246348.2117
2024-12-26 00:00:00+00:00,2.3548963638187823,27831.05136517,2661436215.2701316,26587.33631141,2542501855.1512036,2576655.03737979,246401148873.69794
2024-12-27 00:00:00+00:00,2.316536046291274,31554.84843099,2973097255.791192,40612.43384987,3826502792.2449627,2569865.65370468,242132696009.965
2024-12-28 00:00:00+00:00,2.3373921900161463,16382.62987356,1558374421.5706835,19003.35360699,1807667048.1941926,2567790.38658251,244257417111.24457
2024-12-29 00:00:00+00:00,2.2939806186069815,17082.16392703,1596457673.0902781,23553.14493832,2201219887.761962,2562145.25092036,239451890455.82452
2024-12-30 00:00:00+00:00,2.264447243535571,32921.84348443,3046033093.7700124,53698.1250069,4968320377.374166,2543367.58490394,235320413843.26648
2024-12-31 00:00:00+00:00,2.2808124449322915,29816.70402846,2784574016.2817583,64409.45572858,6015181847.512792,2510043.24857614,234412267803.21533
2025-01-01 00:00:00+00:00,2.3030404933089104,24016.85866322,2268531516.1888895,30109.31688306,2843999510.4248223,2504893.03047991,236601666521.3499
2025-01-02 00:00:00+00:00,2.3578841474857937,31436.2230094,3044642010.587908,33251.86552836,3220489518.9791765,2505843.33580212,242694419423.5277
2025-01-03 00:00:00+00:00,2.3862905574570155,23899.60690858,2345045793.3552294,26111.00678749,2562029863.5661263,2504667.21746262,245759662262.76492
2025-01-04 00:00:00+00:00,2.3875160097101222,14626.97366403,1436808323.0222244,17605.16234961,1729355940.1342247,2502622.77916841,245832755365.98428
2025-01-05 00:00:00+00:00,2.390965860098841,15414.27705289,1516993179.762556,16803.4441015,1653707793.8220682,2502482.08851772,246281304516.16513
2025-01-06 00:00:00+00:00,2.477062799747396,33058.07511517,3377859581.838904,40900.28890682,4179173539.371725,2497008.99566585,255143281408.94403
2025-01-07 00:00:00+00:00,2.3467027834219376,33822.23748699,3279911337.7671075,45833.20739325,4444675093.810016,2487249.02114765,241200963344.02307
2025-01-08 00:00:00+00:00,2.298665904666954,33018.83841765,3138086660.063408,37611.91203621,3574609073.9890194,2484350.31186551,236110867195.8056
2025-01-09 00:00:00+00:00,2.233820238836667,32837.58142191,3032424848.759197,32748.3022019,3024180254.805773,2485459.97340882,229522707142.26346
2025-01-10 00:00:00+00:00,2.290082536703305,31103.80546061,2947369222.7732487,38074.12116354,3607870202.367083,2479701.28408689,234974310640.04825
2025-01-11 00:00:00+00:00,2.285501707170164,17682.02607746,1672834741.7291114,22676.81654021,2145374425.6512198,2476830.94153525,234324326309.6112
2025-01-12 00:00:00+00:00,2.278657758123868,16685.98192377,1574385388.404802,18887.79777073,1782135025.9897356,2475678.858633,233589646639.97668
2025-01-13 00:00:00+00:00,2.2779845089607447,29412.88358434,2775862357.038368,27996.27143635,2642168551.5720334,2478752.48657173,233934075187.1444
2025-01-14 00:00:00+00:00,2.3280580564665416,34514.78156113,3333074360.1822433,35389.42845935,3417538552.5893927,2479637.20901988,239457265267.63605
