timestamp,BTC_open,BTC_high,BTC_low,BTC_close,BTC_volume,BTC_quote_volume,BTC_trades,ETH_open,ETH_high,ETH_low,ETH_close,ETH_volume,ETH_quote_volume,ETH_trades,BTC_market_cap,ETH_market_cap,USDT_market_cap,USDC_market_cap,BTC_active_addresses,BTC_tx_count,ETH_active_addresses,ETH_tx_count,mining_difficulty,hash_rate_ths,miner_revenue_usd,BTC_onchain_total_supply,BTC_onchain_mvrv_ratio,BTC_onchain_exchange_inflow_native,BTC_onchain_exchange_inflow_usd,BTC_onchain_exchange_outflow_native,BTC_onchain_exchange_outflow_usd,BTC_onchain_exchange_supply_native,BTC_onchain_exchange_supply_usd,news_article_count,news_log_article_count,has_news,news_combined_sent_mean,news_combined_sent_std,news_combined_sent_max,news_combined_sent_min,news_combined_sent_max_abs,news_combined_sent_sum_abs,news_bull_ratio,news_bear_ratio,news_p_bull_mean,news_p_bear_mean,news_p_neu_mean,news_max_p_bull_bucket,news_max_p_bear_bucket,news_is_conflict,news_head_sent_mean,news_head_sent_std,news_head_sent_max,news_head_sent_min,news_head_global_diff_mean,news_head_global_abs_diff_mean,news_head_exag_ratio,sentiment_index_value,sentiment_index_classification
2018-02-01 00:00:00,10285.1,10335.0,9959.04,10069.8,2404.804886,24575498.40711174,28470.0,1125.96,1164.99,1120.56,1140.0,20066.06007,22882602.5708276,33831.0,172099559942.0,107323702953.0,2206489669.05,0.0,833934.0,252498.0,501671.0,1008759.0,2603077300218.0,20703947.9136968,24473743.4213841,16839586.08598229,1.69691999,81329.29061683,735205813.8299251,58751.83909664,531108698.34774464,1157574.62924281,10464318462.716549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,Fear
2018-02-01 04:00:00,10069.77,10275.47,10000.01,10063.75,1881.379695,19103285.52859697,23908.0,1140.0,1164.42,1130.18,1137.1,13351.74173,15337171.4156172,31792.0,172099559942.0,110818677807.0,2206489669.05,0.0,833934.0,252498.0,501671.0,1008759.0,2603077300218.0,20703947.9136968,24473743.4213841,16839586.08598229,1.69691999,81329.29061683,735205813.8299251,58751.83909664,531108698.34774464,1157574.62924281,10464318462.716549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,Fear
2018-02-01 08:00:00,10063.75,10078.1,9500.0,9591.44,7404.796681,71916487.20080337,59520.0,1137.1,1137.17,1090.5,1116.0,36615.96414,40694815.3650406,61274.0,172099559942.0,110818677807.0,2227339661.26,0.0,833934.0,252498.0,501671.0,1008759.0,2603077300218.0,20703947.9136968,24473743.4213841,16839586.08598229,1.69691999,81329.29061683,735205813.8299251,58751.83909664,531108698.34774464,1157574.62924281,10464318462.716549,1.0,0.6931471805599453,1.0,0.360601148664586,0.0,0.360601148664586,0.360601148664586,0.360601148664586,0.360601148664586,1.0,0.0,0.4254130721092224,0.0615811925381422,0.5130057483911514,0.6210249662399292,0.0688978284597396,0.0,0.3219924559089122,0.0,0.3219924559089122,0.3219924559089122,-0.041839423662168,0.041839423662168,0.0,30.0,Fear
2018-02-01 12:00:00,9591.45,9665.58,9224.0,9339.87,6612.654639,62185130.57945631,59969.0,1116.0,1162.36,1071.0,1079.05,39273.49293,44135056.5512668,68904.0,162781777148.0,110818677807.0,2227339661.26,0.0,833934.0,252498.0,501671.0,1008759.0,2603077300218.0,20703947.9136968,24473743.4213841,16839586.08598229,1.69691999,81329.29061683,735205813.8299251,58751.83909664,531108698.34774464,1157574.62924281,10464318462.716549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,Fear
2018-02-01 16:00:00,9326.23,9340.0,8900.0,8941.94,7404.965089,67400332.0180255,70693.0,1079.07,1088.96,1005.02,1012.03,48599.8688,50869753.305583,76737.0,162781777148.0,104909670129.0,2227339661.26,0.0,833934.0,252498.0,501671.0,1008759.0,2603077300218.0,20703947.9136968,24473743.4213841,16839586.08598229,1.69691999,81329.29061683,735205813.8299251,58751.83909664,531108698.34774464,1157574.62924281,10464318462.716549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,Fear
2018-02-01 20:00:00,8937.86,9560.01,8750.99,9224.52,7856.163321,72455612.25037721,73460.0,1012.03,1065.0,981.0,1041.94,45448.16285,46891479.5230157,70928.0,162781777148.0,104909670129.0,2190690323.61,0.0,833934.0,252498.0,501671.0,1008759.0,2603077300218.0,20703947.9136968,24473743.4213841,16839586.08598229,1.69691999,81329.29061683,735205813.8299251,58751.83909664,531108698.34774464,1157574.62924281,10464318462.716549,1.0,0.6931471805599453,1.0,0.4011408805566807,0.0,0.4011408805566807,0.4011408805566807,0.4011408805566807,0.4011408805566807,1.0,0.0,0.3597869191726204,0.3174438221030868,0.3227692578802816,0.6597561240196228,0.9839890599250792,0.0,0.6817233515903354,0.0,0.6817233515903354,0.6817233515903354,0.6393802545208018,0.6393802545208018,1.0,30.0,Fear
2018-02-02 00:00:00,9224.52,9250.0,8734.0,8883.11,6149.74227,54858649.50255535,60439.0,1041.89,1047.2,960.0,977.97,42885.62624,42454348.2603998,61695.0,154428564694.0,100935354837.0,2190690323.61,0.0,853582.0,237739.0,499746.0,981133.0,2603077300218.0,20703947.9136968,24473743.4213841,16841686.08598227,1.66151934,99958.13549491,878239913.2082883,74565.48458465,655138117.4300878,1182967.28015307,10393642061.308563,1.0,0.6931471805599453,1.0,0.7179968373715572,0.0,0.7179968373715572,0.7179968373715572,0.7179968373715572,0.7179968373715572,1.0,0.0,0.7091989119847616,0.0033822513651102,0.2874188423156738,0.7742718458175659,0.0089680692180991,0.0,0.7901830388436792,0.0,0.7901830388436792,0.7901830388436792,0.0843663782240279,0.0843663782240279,0.0,15.0,Extreme Fear
2018-02-02 04:00:00,8878.59,8925.0,8505.0,8673.11,6496.550044,56675046.52320045,58055.0,977.54,987.11,901.11,931.94,45716.7466,43028191.3170886,62615.0,154428564694.0,100935354837.0,2190690323.61,0.0,853582.0,237739.0,499746.0,981133.0,2603077300218.0,20703947.9136968,24473743.4213841,16841686.08598227,1.66151934,99958.13549491,878239913.2082883,74565.48458465,655138117.4300878,1182967.28015307,10393642061.308563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,Extreme Fear
2018-02-02 08:00:00,8673.11,8691.09,8250.92,8299.75,7575.510323,63867374.60174976,65102.0,932.01,932.5,845.0,847.01,51502.89945,45740855.3829155,64492.0,154428564694.0,100935354837.0,2193696766.56,0.0,853582.0,237739.0,499746.0,981133.0,2603077300218.0,20703947.9136968,24473743.4213841,16841686.08598227,1.66151934,99958.13549491,878239913.2082883,74565.48458465,655138117.4300878,1182967.28015307,10393642061.308563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,Extreme Fear
2018-02-02 12:00:00,8299.75,9120.0,8010.02,9070.0,17952.793374,154755836.28463733,139725.0,847.01,988.42,783.67,972.5,145159.23305,132057565.6969961,155836.0,136394273745.0,80354306084.6,2193696766.56,0.0,853582.0,237739.0,499746.0,981133.0,2603077300218.0,20703947.9136968,24473743.4213841,16841686.08598227,1.66151934,99958.13549491,878239913.2082883,74565.48458465,655138117.4300878,1182967.28015307,10393642061.308563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,Extreme Fear
2018-02-02 16:00:00,9070.0,9247.79,8501.0,8699.72,8118.463053,71861121.707082,81964.0,973.27,985.97,871.0,900.0,62809.20643,58094545.2541862,94586.0,136394273745.0,80354306084.6,2193696766.56,0.0,853582.0,237739.0,499746.0,981133.0,2603077300218.0,20703947.9136968,24473743.4213841,16841686.08598227,1.66151934,99958.13549491,878239913.2082883,74565.48458465,655138117.4300878,1182967.28015307,10393642061.308563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,Extreme Fear
2018-02-02 20:00:00,8700.0,8967.45,8556.93,8873.03,3678.567911,32218455.08526248,48126.0,901.35,938.68,883.0,922.3,29301.51697,26701964.9056353,62210.0,145768916536.0,80354306084.6,2205217030.22,0.0,853582.0,237739.0,499746.0,981133.0,2603077300218.0,20703947.9136968,24473743.4213841,16841686.08598227,1.66151934,99958.13549491,878239913.2082883,74565.48458465,655138117.4300878,1182967.28015307,10393642061.308563,1.0,0.6931471805599453,1.0,0.3698606350299531,0.0,0.3698606350299531,0.3698606350299531,0.3698606350299531,0.3698606350299531,1.0,0.0,0.4318128363229334,0.152353769284673,0.4158333912491798,0.6273770928382874,0.5968828201293945,0.0,0.5420164586394094,0.0,0.5420164586394094,0.5420164586394094,0.262557391601149,0.262557391601149,0.0,15.0,Extreme Fear
2018-02-03 00:00:00,8873.03,8920.0,8233.0,8344.81,5058.529043,43141201.00808101,59440.0,923.67,930.0,851.0,864.0,30872.40967,27446035.4565207,51592.0,145768916536.0,89173962073.8,2205217030.22,0.0,714800.0,190833.0,433090.0,814486.0,2603077300218.0,20703947.9136968,19143008.6973898,16843661.08598225,1.72878243,36332.72808021,331794117.8122734,37021.63300263,338085266.6763571,1182278.37523065,10796684731.523031,1.0,0.6931471805599453,1.0,0.271448536260404,0.0,0.271448536260404,0.271448536260404,0.271448536260404,0.271448536260404,1.0,0.0,0.4558353828532355,0.1719605894759297,0.3722040504217148,0.6487054228782654,0.6322973966598511,0.0,0.1985937729477882,0.0,0.1985937729477882,0.1985937729477882,-0.0852810204295174,0.0852810204295174,0.0,40.0,Fear
