timestamp,active_addresses,tx_count
2009-01-03 00:00:00+00:00,0.0,0.0
2009-01-04 00:00:00+00:00,0.0,0.0
2009-01-05 00:00:00+00:00,0.0,0.0
2009-01-06 00:00:00+00:00,0.0,0.0
2009-01-07 00:00:00+00:00,0.0,0.0
2009-01-08 00:00:00+00:00,0.0,0.0
2009-01-09 00:00:00+00:00,19.0,0.0
2009-01-10 00:00:00+00:00,61.0,0.0
2009-01-11 00:00:00+00:00,95.0,1.0
2009-01-12 00:00:00+00:00,101.0,6.0
2009-01-13 00:00:00+00:00,123.0,0.0
2009-01-14 00:00:00+00:00,133.0,1.0
2009-01-15 00:00:00+00:00,140.0,8.0
2009-01-16 00:00:00+00:00,114.0,2.0
2009-01-17 00:00:00+00:00,109.0,0.0
2009-01-18 00:00:00+00:00,111.0,1.0
2009-01-19 00:00:00+00:00,133.0,2.0
2009-01-20 00:00:00+00:00,123.0,1.0
2009-01-21 00:00:00+00:00,116.0,2.0
2009-01-22 00:00:00+00:00,95.0,1.0
2009-01-23 00:00:00+00:00,91.0,1.0
2009-01-24 00:00:00+00:00,212.0,1.0
2009-01-25 00:00:00+00:00,193.0,1.0
2009-01-26 00:00:00+00:00,117.0,1.0
2009-01-27 00:00:00+00:00,101.0,1.0
2009-01-28 00:00:00+00:00,112.0,0.0
2009-01-29 00:00:00+00:00,134.0,1.0
2009-01-30 00:00:00+00:00,117.0,0.0
2009-01-31 00:00:00+00:00,159.0,1.0
2009-02-01 00:00:00+00:00,116.0,1.0
2009-02-02 00:00:00+00:00,130.0,1.0
2009-02-03 00:00:00+00:00,154.0,16.0
2009-02-04 00:00:00+00:00,119.0,0.0
2009-02-05 00:00:00+00:00,126.0,0.0
2009-02-06 00:00:00+00:00,122.0,0.0
2009-02-07 00:00:00+00:00,156.0,4.0
2009-02-08 00:00:00+00:00,134.0,1.0
2009-02-09 00:00:00+00:00,179.0,1.0
2009-02-10 00:00:00+00:00,120.0,0.0
2009-02-11 00:00:00+00:00,148.0,2.0
2009-02-12 00:00:00+00:00,119.0,0.0
2009-02-13 00:00:00+00:00,124.0,0.0
2009-02-14 00:00:00+00:00,136.0,0.0
2009-02-15 00:00:00+00:00,142.0,3.0
2009-02-16 00:00:00+00:00,153.0,1.0
2009-02-17 00:00:00+00:00,117.0,0.0
2009-02-18 00:00:00+00:00,118.0,0.0
2009-02-19 00:00:00+00:00,141.0,1.0
2009-02-20 00:00:00+00:00,122.0,0.0
2009-02-21 00:00:00+00:00,114.0,0.0
2009-02-22 00:00:00+00:00,133.0,4.0
2009-02-23 00:00:00+00:00,108.0,0.0
2009-02-24 00:00:00+00:00,106.0,0.0
2009-02-25 00:00:00+00:00,105.0,0.0
2009-02-26 00:00:00+00:00,107.0,0.0
2009-02-27 00:00:00+00:00,152.0,1.0
2009-02-28 00:00:00+00:00,107.0,1.0
