timestamp,mining_difficulty,hash_rate_ths,miner_revenue_usd
2009-08-09,1.0,3.67855995259259e-06,0.0
2009-08-11,1.0,3.33058806518518e-06,0.0
2009-08-13,1.0,3.33058806518518e-06,0.0
2009-08-15,1.0,1.69014916740741e-06,0.0
2009-08-17,1.0,1.69014916740741e-06,0.0
2009-08-19,1.0,7.45654044444445e-07,0.0
2009-08-21,1.0,7.45654044444445e-07,0.0
2009-08-23,1.0,5.96523235555555e-07,0.0
2009-08-25,1.0,5.96523235555555e-07,0.0
2009-08-27,1.0,1.49130808888889e-06,0.0
2009-08-29,1.0,1.49130808888889e-06,0.0
2009-08-31,1.0,4.67276534518518e-06,0.0
2009-09-02,1.0,4.67276534518518e-06,0.0
2009-09-04,1.0,3.13174698666667e-06,0.0
2009-09-06,1.0,3.13174698666667e-06,0.0
2009-09-08,1.0,3.28087779555556e-06,0.0
2009-09-10,1.0,3.28087779555556e-06,0.0
2009-09-12,1.0,3.5294291437037e-06,0.0
2009-09-14,1.0,3.5294291437037e-06,0.0
2009-09-16,1.0,2.88319563851852e-06,0.0
2009-09-18,1.0,2.88319563851852e-06,0.0
2009-09-20,1.0,3.92711130074074e-06,0.0
2009-09-22,1.0,3.92711130074074e-06,0.0
2009-09-24,1.0,4.07624210962963e-06,0.0
2009-09-26,1.0,4.07624210962963e-06,0.0
2009-09-28,1.0,4.37450372740741e-06,0.0
2009-09-30,1.0,4.37450372740741e-06,0.0
2009-10-02,1.0,3.72827022222222e-06,0.0
2009-10-04,1.0,3.72827022222222e-06,0.0
2009-10-06,1.0,2.03812105481482e-06,0.0
2009-10-08,1.0,2.03812105481482e-06,0.0
2009-10-10,1.0,3.82769076148148e-06,0.0
2009-10-12,1.0,3.82769076148148e-06,0.0
2009-10-14,1.0,2.78377509925926e-06,0.0
2009-10-16,1.0,2.78377509925926e-06,0.0
2009-10-18,1.0,3.1814572562963e-06,0.0
2009-10-20,1.0,3.1814572562963e-06,0.0
2009-10-22,1.0,4.27508318814815e-06,0.0
2009-10-24,1.0,4.27508318814815e-06,0.0
2009-10-26,1.0,3.23116752592593e-06,0.0
2009-10-28,1.0,3.23116752592593e-06,0.0
2009-10-30,1.0,3.03232644740741e-06,0.0
2009-11-01,1.0,3.03232644740741e-06,0.0
2009-11-03,1.0,2.83348536888889e-06,0.0
2009-11-05,1.0,2.83348536888889e-06,0.0
2009-11-07,1.0,3.77798049185185e-06,0.0
2009-11-09,1.0,3.77798049185185e-06,0.0
2009-11-11,1.0,3.43000860444444e-06,0.0
2009-11-13,1.0,3.43000860444444e-06,0.0
2009-11-15,1.0,4.77218588444444e-06,0.0
2009-11-17,1.0,4.77218588444444e-06,0.0
2009-11-19,1.0,3.62884968296296e-06,0.0
2009-11-21,1.0,3.62884968296296e-06,0.0
2009-11-23,1.0,4.77218588444444e-06,0.0
2009-11-25,1.0,4.77218588444444e-06,0.0
2009-11-27,1.0,3.72827022222222e-06,0.0
2009-11-29,1.0,3.72827022222222e-06,0.0
2009-12-01,1.0,3.28087779555556e-06,0.0
2009-12-03,1.0,3.28087779555556e-06,0.0
2009-12-05,1.0,2.58493402074074e-06,0.0
2009-12-07,1.0,2.58493402074074e-06,0.0
2009-12-09,1.0,4.67276534518518e-06,0.0
2009-12-11,1.0,4.67276534518518e-06,0.0
2009-12-13,1.0,5.16986804148148e-06,0.0
2009-12-15,1.0,5.16986804148148e-06,0.0
2009-12-17,1.0,8.00335341037037e-06,0.0
2009-12-19,1.0,8.00335341037037e-06,0.0
2009-12-21,1.0,9.29582042074074e-06,0.0
2009-12-23,1.0,9.29582042074074e-06,0.0
2009-12-25,1.0,7.80451233185185e-06,0.0
2009-12-27,1.0,7.80451233185185e-06,0.0
2009-12-29,1.0,8.15248421925926e-06,0.0
2009-12-31,1.0,8.15248421925926e-06,0.0
2010-01-02,1.18289953431284,7.6442931234091e-06,0.0
2010-01-04,1.18289953431284,7.6442931234091e-06,0.0
